Year,State,Evs,Infrastructure,Electricity_Price,Gas_Price,Median_Income,Political_Control,Car_Price_Difference,Lithium_Price,EV_Range,Combined_EV_Tax_Credit,Motor_Fuel_Tax,HOV_Access
2018,DE,7.2296,1.3776,13.89,1.9175,75140,0.7352,1504,229,213,9250,23,0
2019,DE,13.1141,1.7663,14.03,1.7723,84510,0.7511,18661,211,239,9250,23,0
2020,DE,18.7728,2.0769,13.93,1.2469,78930,0.7669,3897,190,259,9250,23,0
2021,DE,30.3519,3.1247,13.69,2.0967,74070,0.7749,11281,169,234,9250,23,0
2022,DE,46.7895,3.5999,16.16,2.688,80750,0.7828,17197,153,257,9250,23,0
2014,FL,2.2906,0.6359,11.99,2.6204,55810,0.2194,2958,356,84,7500,16.9,0
2015,FL,3.3104,0.8462,11.61,1.6878,59100,0.2292,1539,325,90,7500,17.3,0
2016,FL,4.8861,1.0323,11.2,1.442,61400,0.2389,6108,298,218,7500,17.3,0
2017,FL,6.4669,1.1949,12.12,1.6833,62600,0.2556,3021,261,194,7500,17.4,0
2018,FL,10.9964,1.4263,11.67,1.9268,63160,0.2722,1504,229,213,7500,27.5,0
2019,FL,16.9934,2.1241,11.91,1.7617,66480,0.2611,18661,211,239,7500,37.48,0
2020,FL,25.5219,2.5561,11.49,1.2762,65110,0.25,3897,190,259,7500,37.78,0
2021,FL,42.5937,3.0796,12.21,2.1028,64410,0.2236,11281,169,234,7500,38.08,0
2022,FL,67.169,3.5072,14.21,2.728,65370,0.1972,17197,153,257,7500,38.88,0
